episode,style,mode,winner,red_score,blue_score,red_health,blue_health,red_falls,blue_falls,steps,unsafe_rejections,unsafe_rate,avg_risk,red_action_entropy,red_attack_rate,red_guard_rate
5526166,pressure,raw,0,45.47746290671493,15.506113194450752,86.69388680554923,56.722537093285055,0,0,80,0,0.0,0.0,1.5236561790180652,0.175,0.5125
3126833,pressure,raw,0,37.303016542988765,14.885426301136397,87.86457369886361,64.3469834570112,0,0,80,0,0.0,0.0,1.7616913795601432,0.1875,0.4
757221,pressure,raw,0,49.11333351902591,22.802331992883378,80.49766800711663,53.63666648097408,0,0,80,0,0.0,0.0,1.4140359525563189,0.1125,0.625
2243183,pressure,raw,0,50.95191164161216,25.416035853091707,77.33396414690831,53.44808835838786,0,0,80,0,0.0,0.0,1.3917945054805987,0.125,0.6375
7188932,pressure,raw,0,56.616133517654355,26.54313536822026,75.10686463177974,46.68386648234563,0,0,80,0,0.0,0.0,1.3784091527711322,0.125,0.65
1820098,pressure,raw,0,57.04235398411264,35.70625184655515,65.39374815344485,46.25764601588736,0,0,80,0,0.0,0.0,1.3879903366671518,0.1125,0.6
5413663,pressure,firewall,0,56.88112129648263,12.228125047126275,87.7718749528737,45.86887870351738,0,0,80,0,0.0,0.04025000000000001,1.7820260757174515,0.175,0.4875
8601786,pressure,firewall,0,41.72623665173557,13.57198015533059,88.07801984466943,58.82376334826446,0,0,80,0,0.0,0.053379430553345895,1.6088439281733242,0.1625,0.475
5241473,pressure,firewall,0,30.427303218489488,26.909969307084076,79.14003069291591,72.3226967815105,0,0,80,0,0.0,0.05323371988100589,1.547867936562111,0.1625,0.5125
8575425,pressure,firewall,0,50.91846667800158,33.70916364859733,67.39083635140268,51.831533321998435,0,0,80,0,0.0,0.05035000000000002,1.4247829764082374,0.1125,0.6
3223068,pressure,firewall,1,21.37479491358941,23.86772894214328,81.63227105785673,79.72520508641061,0,0,80,0,0.0,0.04692500000000001,1.4973149014230525,0.1375,0.4625
1035625,pressure,firewall,-1,30.964678184394792,30.882523566565755,72.96747643343426,72.8853218156052,0,0,80,0,0.0,0.04667500000000001,1.5437933520587939,0.1125,0.475
975259,pressure,raw_stress,1,0.0,44.0,84.0,100.0,4,0,80,0,0.0,0.0,0.7219280948873623,0.0,0.0
2890899,pressure,raw_stress,1,2.114297131672873,34.09347236299905,86.90652763700095,98.43570286832713,3,0,80,0,0.0,0.0,1.4411535278793055,0.05,0.15
5911578,pressure,raw_stress,1,0.0,44.0,84.0,100.0,4,0,80,0,0.0,0.0,1.252223049739536,0.0375,0.0625
6615717,pressure,raw_stress,1,0.0,44.0,84.0,100.0,4,0,80,0,0.0,0.0,0.7219280948873623,0.0,0.0
6109379,pressure,raw_stress,1,25.10455049374623,26.319889872987567,81.78011012701245,77.64544950625375,1,0,80,0,0.0,0.0,2.0673400306046292,0.1375,0.4625
7012957,pressure,raw_stress,1,0.0,33.0,88.0,100.0,3,0,80,0,0.0,0.0,1.3528823540687254,0.05,0.1125
8076588,pressure,firewall_stress,0,21.203285613796513,7.43253711852228,94.76746288147773,82.09671438620349,0,0,80,4,0.05,0.32708320456485585,2.061828577693077,0.1375,0.3375
4386800,pressure,firewall_stress,1,2.3101191427246057,21.581130384269468,86.51886961573055,98.2398808572754,1,0,80,5,0.0625,0.3447471907419324,1.3859072513937536,0.025,0.225
1509414,pressure,firewall_stress,-1,0.0,0.0,100.0,100.0,0,0,80,11,0.1375,0.45188570623563207,1.4104642462043708,0.05,0.0875
4814066,pressure,firewall_stress,-1,0.0,0.0,100.0,100.0,0,0,80,12,0.15,0.4772323486754765,0.9247476260021454,0.0125,0.0375
5376876,pressure,firewall_stress,0,10.381241057385065,5.467074790369264,95.08292520963073,89.61875894261493,0,0,80,8,0.1,0.34967199434988094,1.6752535132717699,0.075,0.225
7399831,pressure,firewall_stress,-1,0.0,0.0,100.0,100.0,0,0,80,10,0.125,0.4480422931468926,0.5435644431995964,0.0,0.0
9314,counter,raw,0,46.752552081160175,13.858905268442875,87.79109473155711,56.54744791883981,0,0,80,0,0.0,0.0,0.9195388848061378,0.1125,0.825
4389641,counter,raw,0,29.03295621672951,20.95138195291515,81.79861804708486,74.26704378327052,0,0,80,0,0.0,0.0,0.5035926789788865,0.0875,0.9125
168677,counter,raw,0,35.997356927671404,13.51672809474801,87.03327190525201,66.7526430723286,0,0,80,0,0.0,0.0,0.8414307588625516,0.075,0.825
9598728,counter,raw,0,44.5371771982003,22.37544442589466,80.37455557410534,59.31282280179971,0,0,80,0,0.0,0.0,1.2292451406375373,0.1375,0.7375
8734241,counter,raw,0,43.9798914483509,21.32227733292182,81.42772266707819,59.3201085516491,0,0,80,0,0.0,0.0,1.1380446628763177,0.125,0.7625
3094591,counter,raw,-1,0.0,0.0,100.0,100.0,0,0,80,0,0.0,0.0,0.5233520379092408,0.0125,0.9
3039840,counter,firewall,0,33.37577404261247,16.886998035836477,84.76300196416352,68.82422595738754,0,0,80,0,0.0,0.03225000000000001,0.668907020396497,0.0875,0.8875
1118077,counter,firewall,-1,0.0,0.0,100.0,100.0,0,0,80,0,0.0,0.03325000000000001,0.6402569436810504,0.0,0.8375
7785148,counter,firewall,-1,0.0,0.0,100.0,100.0,0,0,80,0,0.0,0.035362500000000005,0.6380847390552712,0.0125,0.8625
2532394,counter,firewall,0,45.17006088393032,18.79037659670951,83.95962340329051,59.22993911606967,0,0,80,0,0.0,0.03525000000000001,1.2292451406375373,0.1375,0.7375
3400704,counter,firewall,-1,0.0,0.0,100.0,100.0,0,0,80,0,0.0,0.03250000000000001,0.5435644431995964,0.0,0.875
